Prod Category,Brand,Product,Model,Description,Image,MRP,Discount,Actual Price,Stock,Warranty
Smartphone,OnePlus,OnePlus Nord CE 3,M6034,"High performance, sleek design, 5G support",https://m.media-amazon.com/images/I/6175SlKKECL._SX569_.jpg,27999,7%,26039,118,2 years
Smartphone,Samsung,Galaxy S23 Ultra,S23U-456,Flagship phone with 200MP camera,https://m.media-amazon.com/images/I/71goZuIha-L._SX569_.jpg,84999,5%,80749,85,2 years
Smartphone,Apple,desktop,IP15P-789,"Titanium body,  A17 Pro chip",https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/imac-touch-id-silver-selection-hero-202410?wid=904&hei=840&fmt=png-alpha&.v=1729800486635,79900,10%,71910,92,1 year
Smartphone,Xiaomi,Redmi Note 12 Pro,RN12P-123,"AMOLED display,  67W fast charging",https://m.media-amazon.com/images/I/51ZCk7jqdTL.jpg,17999,9%,16379,150,1.5 years
Laptop,Dell,XPS 13 9310,XPS13-9310,"Ultra-thin,  4K touchscreen",https://m.media-amazon.com/images/I/91MXLpouhoL.jpg,25999,12%,22879,45,3 years
Laptop,Apple,MacBook Pro M2,MBP14-M2,"32GB RAM,  1TB SSD",https://m.media-amazon.com/images/I/71f5Eu5lJSL._SX679_.jpg,18000,4%,17280,60,1 year
Headphones,Sony,WH-1000XM5,WH-XM5-001,"Noise-cancelling,  30hr battery",https://www.sony.co.in/image/6145c1d32e6ac8e63a46c912dc33c5bb?fmt=pjpeg&wid=220&bgcolor=FFFFFF&bgc=FFFFFF,35000,6%,32900,200,2 years
Smartwatch,Apple,Apple Watch Series 9,AW9-2025,"ECG,  blood oxygen monitor",https://iplanet.one/cdn/shop/files/Apple_Watch_Series_9_LTE_41mm_Midnight_Aluminium_Midnight_Sport_Band_PDP_Image_Position-1__en-IN_3fa46e6a-797c-4da9-a28d-a6991aa20c0d.jpg?v=1698863893&width=823,45000,11%,40050,75,1 year
Tablet,Samsung,Galaxy Tab S9,TAB-S9-5G,"120Hz AMOLED,  S Pen included","https://m.media-amazon.com/images/I/618Acjb5AhL._AC_UF1000,1000_QL80_.jpg",90000,3%,87300,110,2 years
Smartphone,Google,Pixel 8 Pro,PXL8-PRO,"Tensor G3,  AI-powered camera",https://www.mytrendyphone.co.uk/images/Google-Pixel-8-Pro-512GB-Obsidian-Black-0840244705565-05022024-01-p.webp,15000,8%,13800,65,2 years
Smartphone,OnePlus,OnePlus 11 5G,OP11-2025,"Hasselblad camera,  100W charging",https://m.media-amazon.com/images/I/61amb0CfMGL.jpg,19000,5%,18050,88,2 years
Laptop,HP,Spectre x360 14,SPX360-14,"OLED display,  12th Gen i7",https://m.media-amazon.com/images/I/715adOPQwxL.jpg,22000,10%,19800,40,2 years
Headphones,Bose,QuietComfort 45,QC45-2025,"All-day comfort,  ANC",https://m.media-amazon.com/images/I/51HHABMPoVL.jpg,28000,7%,26040,180,1.5 years
Smartwatch,Samsung,Galaxy Watch 6 Classic,GW6-CLASSIC,"Rotating bezel,  Wear OS","https://m.media-amazon.com/images/I/71sRBqqrOpL._AC_UF1000,1000_QL80_.jpg",33000,4%,31680,95,2 years
Tablet,Apple,iPad Pro M2,IPADPRO-M2,"Liquid Retina XDR,  M2 chip","https://m.media-amazon.com/images/I/81gC7frRJyL._AC_UF1000,1000_QL80_.jpg",40000,9%,36400,70,1 year
Smartphone,OnePlus,OnePlus Nord 3,NORD3-5G,"120Hz display,  80W charging","https://m.media-amazon.com/images/I/71-yDa90UrL._AC_UF1000,1000_QL80_.jpg",52000,6%,48880,105,2 years
Smartphone,Xiaomi,Redmi K60 Pro,RK60P-789,"Snapdragon 8 Gen 2,  2K display",https://m.media-amazon.com/images/I/61G2qULB8qL.jpg,65000,12%,57200,80,1.5 years
Laptop,Lenovo,ThinkPad X1 Carbon,X1C-GEN10,"Lightweight,  MIL-STD tested","https://m.media-amazon.com/images/I/41AW34vZZdL._AC_UF1000,1000_QL80_.jpg",75000,8%,69000,50,3 years
Headphones,Jabra,Elite 85t,ELITE85T-2025,"ANC,  wireless charging",https://m.media-amazon.com/images/I/51GMWIEHo3L.jpg,82000,5%,77900,160,2 years
Smartwatch,Garmin,Fenix 7 Pro,FENIX7-PRO,"Solar charging,  multi-band GPS","https://m.media-amazon.com/images/I/71yjOArb3YL._AC_UF1000,1000_QL80_.jpg",95000,11%,84550,45,2 years
